Country,Film,Box Office,Week,Link clicks,Total impressions,Total reach,Organic impressions,Organic reach,Page engaged users,Page consumptions,Negative feedback from users,Total video views,Total autoplayed views,Total organic views,Video repeats,Organic 30 sec views,Unique video views,Total 30 sec views,Autoplayed 30 sec views,Total impressions of posts,Total reach of posts,Organic impressions of posts,Organic reach of posts,Paid impressions,Paid reach,Total promoted views,Paid 30 sec views,Paid impressions of posts,Paid reach of posts
5,6,1740095,16,5,5900,4082,5044,3578,174,165,2,770,696,770,51,138,719,138,96,5309,3808,4922,3499,0,0,0,0,0,0
5,6,1740095,16,0,1876,1247,1138,875,130,132,0,716,644,716,40,122,676,122,82,1199,945,1017,813,0,0,0,0,0,0
5,6,1740095,16,22,8914,6191,7334,5208,269,265,7,735,658,735,56,148,679,148,97,8125,5899,7146,5155,0,0,0,0,0,0
5,6,1740095,16,23,10078,6996,8309,5861,285,278,7,722,644,722,57,156,665,156,102,9256,6688,8102,5777,0,0,0,0,0,0
5,6,1740095,16,23,10168,7083,8357,5919,285,287,7,717,631,717,53,154,664,154,99,9335,6762,8139,5824,0,0,0,0,0,0
5,6,1740095,16,23,10150,7093,8346,5912,291,294,7,710,619,710,63,165,647,165,104,9365,6769,8136,5811,0,0,0,0,0,0
5,6,1740095,16,24,56263,33505,35070,17678,2030,2226,9,8354,8019,8354,130,1873,8224,1873,1635,55506,33230,34757,17637,0,0,0,0,0,0
5,6,1740095,8,7051,8420176,5601171,429433,332145,50647,49676,36,967541,948125,31429,141012,7005,826529,229910,220465,8411548,5601171,425454,330567,7883907,5418690,936112,222905,7883907,5418690
5,6,1740095,8,7042,7595956,5043324,431413,333390,47172,46409,30,957537,938382,24250,135871,5989,821666,228569,219301,7588349,5043324,427559,331801,7088918,4877551,933287,222580,7088918,4877551
5,6,1740095,8,5384,6675910,4490752,419287,326406,43068,42300,23,955084,936092,21797,135133,5624,819951,228204,219056,6668604,4490752,415664,324881,6188165,4338988,933287,222580,6188165,4338988
5,6,1740095,8,3527,4900285,3544149,370855,285156,34926,32545,22,718542,703484,21830,79393,5870,639149,168261,161321,4894006,3544149,368008,283381,4457968,3373669,696712,162391,4457968,3373669
5,6,1740095,8,1477,2680561,2379035,225576,162673,20911,18431,20,392568,383936,16266,12177,4389,380391,89537,86031,2676249,2377209,223992,161746,2397337,2236856,376302,85148,2397337,2236856
5,6,1740095,8,60,92961,48832,43879,15819,2431,2158,16,13037,12546,10428,1447,2933,11590,3564,3243,90715,47664,43410,15736,10463,10801,2609,631,10463,10801
5,6,1740095,8,31,85234,38666,48421,16926,2240,1830,16,8942,8546,8942,1045,2584,7897,2584,2309,83142,37356,48025,16871,0,0,0,0,0,0
5,6,1740095,7,40,95696,42110,56382,18771,2685,2302,14,11460,11009,11460,1984,3525,9476,3525,3207,93319,40766,55996,18676,0,0,0,0,0,0
5,6,1740095,7,40,87642,40760,53794,17865,2768,2434,10,12103,11626,12103,2231,3806,9872,3806,3463,85044,39449,53446,17747,0,0,0,0,0,0
5,6,1740095,7,160,99489,43908,65923,19914,2884,2515,11,11915,11457,11915,2187,3787,9728,3787,3460,97065,42338,65552,19727,0,0,0,0,0,0
5,6,1740095,7,1456,1659779,1403936,105726,54094,24227,18610,21,214243,209916,15732,17791,4631,196452,43321,40871,1652334,1403856,103953,53062,1449805,1337379,198511,38690,1449805,1337379
5,6,1740095,7,3301,3923588,2834558,170025,112922,48679,40864,39,449415,439735,20972,43209,6215,406206,89964,84522,3905833,2830348,166258,110774,3530216,2693345,428443,83749,3530216,2693345
5,6,1740095,7,3339,5629018,3525766,285095,201087,61808,52625,52,748476,732270,27755,98719,7647,649757,145625,136846,5607252,3525265,280550,199214,5076158,3360082,720721,137978,5076158,3360082
5,6,1740095,7,3357,7180469,4024547,379042,263867,74605,64469,53,1032021,1009245,33754,154464,8925,877557,196952,185071,7157099,4022750,373900,261798,6507059,3821612,998267,188027,6507059,3821612
5,6,1740095,6,3368,8539463,4412926,469010,343843,85870,74754,60,1269311,1240607,37930,200240,9363,1069071,238694,224027,8514897,4410765,463299,341369,7744704,4176267,1231381,229331,7744704,4176267
5,6,1740095,6,3372,8549016,4412926,468073,342540,85747,74818,62,1271324,1242600,38739,201411,9290,1069913,238799,224133,8524450,4410765,462331,340085,7748031,4177676,1232585,229509,7748031,4177676
5,6,1740095,6,3253,8550134,4421985,467337,342587,86179,75052,63,1273974,1245178,41389,203046,9916,1070928,239425,224700,8525379,4419815,461612,339572,7748032,4177676,1232585,229509,7748032,4177676
5,6,1740095,6,2208,8210787,4330936,427557,314496,75663,66963,53,1437095,1406557,39278,234577,9809,1202518,320816,305009,8189796,4328854,422613,312614,7517487,4076137,1397817,311007,7517487,4076137
5,6,1740095,6,584,7066465,3784789,359141,270871,56910,51822,35,1496873,1466766,36610,260216,9396,1236657,371300,355614,7054437,3777790,355625,269164,6547317,3584198,1460263,361904,6547317,3584198
5,6,1740095,6,1001,7716896,4037028,265834,194339,63305,58240,30,1802840,1767723,40371,365864,11624,1436976,500352,481314,7705662,4034645,261597,192701,7293819,3870516,1762469,488728,7293819,3870516
5,6,1740095,6,1296,7773128,3966302,192169,125979,67430,62280,28,1919857,1881382,44750,453752,13253,1466105,562429,540891,7760487,3965111,187274,124965,7419920,3826306,1875107,549176,7419920,3826306
5,6,1740095,5,1288,6415712,3537632,96798,46258,56506,51735,24,1684265,1651686,39927,370099,12397,1314166,520968,502203,6404161,3534792,92461,44772,6186814,3450952,1644338,508571,6186814,3450952
5,6,1740095,5,1508,7398199,3700230,99793,46756,59728,54069,23,1910365,1876906,40148,487834,12587,1422531,541314,521997,7384293,3696571,95084,45026,7166323,3621848,1870217,528727,7166323,3621848
5,6,1740095,5,1767,8870908,4131199,89807,45858,63474,57482,22,2243192,2208528,41213,677710,12587,1565482,572028,551927,8851181,4124578,84518,43942,8632436,4081928,2201979,559441,8632436,4081928
5,6,1740095,5,1747,9162591,4385051,85145,42187,60771,52924,22,2192269,2162098,40303,614035,11379,1578234,480092,462462,9137405,4370641,79923,40387,8922663,4335594,2151966,468713,8922663,4335594
5,6,1740095,5,1801,9637939,4563329,95743,41578,58968,49714,24,2212331,2185674,42458,602053,10954,1610278,411986,396280,9607070,4559339,90549,39483,9380236,4506614,2169873,401032,9380236,4506614
5,6,1740095,5,1580,8794120,4216129,83175,33418,43357,35308,24,1887894,1871566,36672,440088,8024,1447806,253487,243692,8758941,4207803,78920,31513,8562388,4156525,1851222,245463,8562388,4156525
5,6,1740095,5,1644,7983499,4238057,81194,26158,35031,24904,37,1490487,1483885,27827,312772,5416,1177715,140524,136200,7948085,4229644,77479,24502,7722847,4161080,1462660,135108,7722847,4161080
5,6,1740095,4,1669,7999625,4231676,91219,28344,35588,25722,38,1489847,1483020,29531,312803,5631,1177044,140040,135622,7963797,4221670,87336,26639,7721524,4161080,1460316,134409,7721524,4161080
5,6,1740095,4,1445,7032347,4072905,103606,29376,32987,23845,43,1261435,1255462,28202,205100,5334,1056335,119409,115528,6998854,4064968,100025,27932,6738688,4002932,1233233,114075,6738688,4002932
5,6,1740095,4,1185,5558915,3695881,111985,29550,28532,20199,46,925970,921263,24499,101202,4706,824768,88067,85019,5531374,3691269,108953,28259,5272574,3605603,901471,83361,5272574,3605603
5,6,1740095,4,932,4043937,3078518,123274,30232,24257,16981,47,612040,608465,24299,41912,4734,570128,58635,56326,4023277,3072646,120783,29279,3763087,2979711,587741,53901,3763087,2979711
5,6,1740095,4,649,2451135,2132583,119830,29168,19343,13220,45,297746,295549,20290,24736,3763,273010,29389,28042,2437697,2123192,117839,28543,2195273,2026869,277456,25626,2195273,2026869
5,6,1740095,4,414,945121,801524,116130,27726,14347,9547,39,17147,16158,15524,2714,2939,14433,3081,2515,939385,798166,114667,27330,720677,715472,1623,142,720677,715472
5,6,1740095,4,37,144760,59370,95688,25211,4391,4045,26,13958,13178,13957,2472,2611,11486,2611,2182,142495,58396,94934,25051,3216,3159,1,0,3216,3159
5,6,1740095,3,0,116887,45128,83904,23075,3439,3062,20,10923,10437,10923,1635,2033,9288,2033,1757,115525,44580,83345,22945,0,0,0,0,0,0
5,6,1740095,3,4,832951,721704,82582,25106,7990,6595,19,165428,162455,15259,736,2712,164692,21790,19973,831397,721410,81888,24814,715044,687046,150169,19078,715044,687046
5,6,1740095,3,24,2076663,1465452,98235,32363,17133,15067,19,429695,420832,21951,29533,3872,400162,55558,50436,2073805,1462683,96971,32043,1921512,1422143,407744,51686,1921512,1422143
5,6,1740095,3,133,3222747,2028161,96957,33663,24316,21785,20,655876,642242,23183,83061,4072,572815,82083,74229,3218810,2028161,95370,33150,3052439,1983003,632693,78011,3052439,1983003
5,6,1740095,3,169,4417014,2432615,98034,36955,31794,28261,22,879948,861459,23744,168300,4043,711648,108487,97668,4411912,2432615,96158,36123,4232121,2372602,856204,104444,4232121,2372602
5,6,1740095,3,210,5678424,2850963,110207,42836,37370,33556,24,1104982,1083111,26268,246984,4414,857998,133300,120591,5672077,2850963,107978,41921,5466872,2783819,1078714,128886,5466872,2783819
5,6,1740095,3,243,8306155,3589094,169078,52133,48783,49109,36,1586873,1558333,38110,449530,7261,1137343,192686,175955,8297421,3589094,166220,51075,7998773,3512095,1548763,185425,7998773,3512095
5,6,1740095,2,272,11637040,4460366,212177,59157,61256,64106,50,2050997,2014713,47053,666629,8894,1384368,250646,229194,11626007,4460366,208767,58056,11245497,4338638,2003944,241752,11245497,4338638
5,6,1740095,2,278,13342371,5077992,227547,65510,63333,67337,51,2188323,2150380,46729,696818,8769,1491505,265546,243232,13330532,5077992,224064,64213,12929619,4954399,2141594,256777,12929619,4954399
